"Date","Price","Open","High","Low","Change %"
"10/16/2025","3.064","3.064","3.064","3.064","0.00%"
"10/15/2025","3.064","3.064","3.064","3.064","-0.03%"
"10/14/2025","3.065","3.065","3.065","3.065","0.00%"
"10/13/2025","3.065","3.065","3.065","3.065","0.00%"
"10/10/2025","3.065","3.065","3.065","3.065","0.00%"
"10/09/2025","3.065","3.065","3.065","3.065","0.00%"
"10/08/2025","3.065","3.065","3.065","3.065","0.00%"
"10/07/2025","3.065","3.065","3.065","3.065","-0.03%"
"10/06/2025","3.066","3.066","3.066","3.066","0.00%"
"10/03/2025","3.066","3.066","3.066","3.066","0.00%"
"10/02/2025","3.066","3.066","3.066","3.066","0.00%"
"10/01/2025","3.066","3.066","3.066","3.066","0.00%"
"09/30/2025","3.066","3.066","3.066","3.066","0.00%"
"09/29/2025","3.066","3.066","3.066","3.066","0.00%"
"09/26/2025","3.066","3.066","3.066","3.066","0.00%"
"09/25/2025","3.066","3.066","3.066","3.066","-0.03%"
"09/24/2025","3.067","3.067","3.067","3.067","0.00%"
"09/23/2025","3.067","3.067","3.067","3.067","0.00%"
"09/22/2025","3.067","3.067","3.067","3.067","0.00%"
"09/19/2025","3.067","3.067","3.067","3.067","0.00%"
"09/18/2025","3.067","3.067","3.067","3.067","-0.03%"
"09/17/2025","3.068","3.068","3.068","3.068","0.00%"
"09/16/2025","3.068","3.068","3.068","3.068","0.00%"
"09/15/2025","3.068","3.068","3.068","3.068","0.00%"
"09/12/2025","3.068","3.068","3.068","3.068","0.00%"
"09/11/2025","3.068","3.068","3.068","3.068","-0.03%"
"09/10/2025","3.069","3.069","3.069","3.069","0.00%"
"09/09/2025","3.069","3.069","3.069","3.069","0.00%"
"09/08/2025","3.069","3.069","3.069","3.069","-1.29%"
"09/05/2025","3.109","3.141","3.141","3.109","-1.02%"
"09/04/2025","3.141","3.141","3.141","3.141","0.00%"
"09/03/2025","3.141","3.141","3.141","3.141","0.00%"
"09/02/2025","3.141","3.141","3.141","3.141","0.00%"
"09/01/2025","3.141","3.141","3.141","3.141","-0.03%"
"08/29/2025","3.142","3.142","3.142","3.142","0.00%"
"08/28/2025","3.142","3.142","3.142","3.142","0.00%"
"08/27/2025","3.142","3.142","3.142","3.142","0.00%"
"08/26/2025","3.142","3.142","3.142","3.142","0.00%"
"08/25/2025","3.142","3.142","3.142","3.142","0.00%"
"08/22/2025","3.142","3.142","3.142","3.142","0.00%"
"08/21/2025","3.142","3.142","3.142","3.142","-0.03%"
"08/20/2025","3.143","3.143","3.143","3.143","0.00%"
"08/19/2025","3.143","3.143","3.143","3.143","0.00%"
"08/18/2025","3.143","3.143","3.143","3.143","0.00%"
"08/14/2025","3.143","3.143","3.143","3.143","0.00%"
"08/13/2025","3.143","3.143","3.143","3.143","-0.03%"
"08/12/2025","3.144","3.144","3.144","3.144","0.00%"
"08/11/2025","3.144","3.144","3.144","3.144","0.00%"
"08/08/2025","3.144","3.144","3.144","3.144","0.00%"
"08/07/2025","3.144","3.144","3.144","3.144","0.00%"
"08/06/2025","3.144","3.144","3.144","3.144","0.00%"
"08/04/2025","3.144","3.144","3.144","3.144","0.00%"
"08/01/2025","3.144","3.144","3.144","3.144","-0.03%"
"07/31/2025","3.145","3.145","3.145","3.145","0.00%"
"07/30/2025","3.145","3.145","3.145","3.145","0.00%"
"07/29/2025","3.145","3.145","3.145","3.145","0.00%"
"07/28/2025","3.145","3.145","3.145","3.145","0.00%"
"07/25/2025","3.145","3.145","3.145","3.145","0.00%"
"07/24/2025","3.145","3.145","3.145","3.145","0.00%"
"07/23/2025","3.145","3.145","3.145","3.145","-0.03%"
"07/22/2025","3.146","3.146","3.146","3.146","0.00%"
"07/21/2025","3.146","3.146","3.146","3.146","0.00%"
"07/18/2025","3.146","3.146","3.146","3.146","0.00%"
"07/17/2025","3.146","3.146","3.146","3.146","0.00%"
"07/16/2025","3.146","3.146","3.146","3.146","0.00%"
"07/15/2025","3.146","3.146","3.146","3.146","0.00%"
"07/14/2025","3.146","3.146","3.146","3.146","-0.03%"
"07/11/2025","3.147","3.147","3.147","3.147","0.00%"
"07/10/2025","3.147","3.147","3.147","3.147","0.00%"
"07/09/2025","3.147","3.147","3.147","3.147","0.00%"
"07/08/2025","3.147","3.147","3.147","3.147","0.00%"
"07/07/2025","3.147","3.147","3.147","3.147","0.00%"
"07/04/2025","3.147","3.147","3.147","3.147","0.00%"
"07/03/2025","3.147","3.147","3.147","3.147","0.00%"
"07/02/2025","3.147","3.147","3.147","3.147","-0.03%"
"07/01/2025","3.148","3.148","3.148","3.148","0.00%"
"06/30/2025","3.148","3.148","3.148","3.148","0.00%"
"06/27/2025","3.148","3.148","3.148","3.148","0.00%"
"06/26/2025","3.148","3.148","3.148","3.148","0.00%"
"06/25/2025","3.148","3.148","3.148","3.148","0.00%"
"06/24/2025","3.148","3.148","3.148","3.148","0.00%"
"06/23/2025","3.148","3.148","3.148","3.148","0.00%"
"06/20/2025","3.148","3.148","3.148","3.148","0.00%"
"06/18/2025","3.148","3.148","3.148","3.148","-0.03%"
"06/17/2025","3.149","3.149","3.149","3.149","0.00%"
