"Date","Price","Open","High","Low","Change %"
"10/17/2025","3.536","3.536","3.536","3.536","-0.28%"
"10/16/2025","3.546","3.546","3.546","3.546","0.03%"
"10/15/2025","3.545","3.545","3.545","3.545","-0.81%"
"10/14/2025","3.574","3.574","3.574","3.574","-0.78%"
"10/13/2025","3.602","3.602","3.602","3.602","-0.14%"
"10/10/2025","3.607","3.607","3.607","3.607","-0.85%"
"10/09/2025","3.638","3.638","3.638","3.638","0.22%"
"10/08/2025","3.630","3.630","3.630","3.630","-0.49%"
"10/07/2025","3.648","3.648","3.648","3.648","0.03%"
"10/06/2025","3.647","3.647","3.647","3.647","0.41%"
"10/03/2025","3.632","3.632","3.632","3.632","-0.08%"
"10/02/2025","3.635","3.635","3.635","3.635","-0.08%"
"10/01/2025","3.638","3.638","3.638","3.638","-0.33%"
"09/30/2025","3.650","3.650","3.650","3.650","-0.33%"
"09/29/2025","3.662","3.662","3.662","3.662","-0.35%"
"09/26/2025","3.675","3.675","3.675","3.675","-0.16%"
"09/25/2025","3.681","3.681","3.681","3.681","0.55%"
"09/24/2025","3.661","3.661","3.661","3.661","0.44%"
"09/23/2025","3.645","3.645","3.645","3.645","0.03%"
"09/22/2025","3.644","3.644","3.644","3.644","0.00%"
"09/19/2025","3.644","3.644","3.644","3.644","0.75%"
"09/18/2025","3.617","3.617","3.617","3.617","0.81%"
"09/17/2025","3.588","3.588","3.588","3.588","-0.14%"
"09/16/2025","3.593","3.593","3.593","3.593","0.03%"
"09/15/2025","3.592","3.592","3.592","3.592","-0.22%"
"09/12/2025","3.600","3.600","3.600","3.600","0.59%"
"09/11/2025","3.579","3.579","3.579","3.579","-0.11%"
"09/10/2025","3.583","3.583","3.583","3.583","0.11%"
"09/09/2025","3.579","3.579","3.579","3.579","0.22%"
"09/08/2025","3.571","3.571","3.571","3.571","-0.70%"
"09/05/2025","3.596","3.596","3.596","3.596","-0.61%"
"09/04/2025","3.618","3.618","3.618","3.618","0.00%"
"09/03/2025","3.618","3.618","3.618","3.618","0.03%"
"09/02/2025","3.617","3.617","3.617","3.617","0.75%"
"09/01/2025","3.590","3.590","3.590","3.590","0.31%"
"08/29/2025","3.579","3.579","3.579","3.579","0.22%"
"08/28/2025","3.571","3.571","3.571","3.571","-0.03%"
"08/27/2025","3.572","3.572","3.572","3.572","0.11%"
"08/26/2025","3.568","3.568","3.568","3.568","-1.03%"
"08/25/2025","3.605","3.605","3.605","3.605","1.38%"
"08/22/2025","3.556","3.556","3.556","3.556","-0.20%"
"08/21/2025","3.563","3.563","3.563","3.563","0.42%"
"08/20/2025","3.548","3.548","3.548","3.548","-0.37%"
"08/19/2025","3.561","3.561","3.561","3.561","-0.20%"
"08/18/2025","3.568","3.568","3.568","3.568","0.73%"
"08/14/2025","3.542","3.542","3.542","3.542","0.25%"
"08/13/2025","3.533","3.533","3.533","3.533","-0.25%"
"08/12/2025","3.542","3.542","3.542","3.542","0.25%"
"08/11/2025","3.533","3.533","3.533","3.533","0.03%"
"08/08/2025","3.532","3.532","3.532","3.532","0.40%"
"08/07/2025","3.518","3.518","3.518","3.518","-0.09%"
"08/06/2025","3.521","3.521","3.521","3.521","0.31%"
"08/05/2025","3.510","3.510","3.510","3.510","-0.59%"
"08/04/2025","3.531","3.531","3.531","3.531","-0.73%"
"08/01/2025","3.557","3.557","3.557","3.557","-0.08%"
"07/31/2025","3.560","3.560","3.560","3.560","-0.25%"
"07/30/2025","3.569","3.569","3.569","3.569","11.46%"
"07/29/2025","3.202","3.202","3.202","3.202","0.22%"
"07/28/2025","3.195","3.195","3.195","3.195","-0.37%"
"07/25/2025","3.207","3.207","3.207","3.207","0.41%"
"07/24/2025","3.194","3.194","3.194","3.194","0.41%"
"07/23/2025","3.181","3.181","3.181","3.181","-0.03%"
"07/22/2025","3.182","3.182","3.182","3.182","-0.03%"
"07/21/2025","3.183","3.183","3.183","3.183","-0.62%"
"07/18/2025","3.203","3.203","3.203","3.203","-0.03%"
"07/17/2025","3.204","3.204","3.204","3.204","-0.03%"
