"Date","Price","Open","High","Low","Change %"
"10/17/2025","3.35","3.34","3.37","3.32","0.51%"
"10/16/2025","3.34","3.37","3.37","3.33","0.00%"
"10/15/2025","3.34","3.39","3.39","3.34","-1.77%"
"10/14/2025","3.40","3.41","3.42","3.40","-0.96%"
"10/13/2025","3.43","3.47","3.47","3.43","-1.07%"
"10/10/2025","3.47","3.50","3.50","3.44","-0.66%"
"10/09/2025","3.49","3.49","3.51","3.46","0.49%"
"10/08/2025","3.47","3.52","3.52","3.47","-1.03%"
"10/07/2025","3.51","3.54","3.54","3.51","0.00%"
"10/06/2025","3.51","3.49","3.53","3.49","0.69%"
"10/03/2025","3.48","3.49","3.50","3.48","-0.17%"
"10/02/2025","3.49","3.51","3.51","3.48","-0.14%"
"10/01/2025","3.49","3.53","3.54","3.48","-0.17%"
"09/30/2025","3.50","3.51","3.51","3.49","0.00%"
"09/29/2025","3.50","3.54","3.54","3.50","-0.82%"
"09/26/2025","3.53","3.57","3.58","3.52","-0.68%"
"09/25/2025","3.55","3.55","3.56","3.51","0.88%"
"09/24/2025","3.52","3.53","3.55","3.51","0.23%"
"09/23/2025","3.52","3.53","3.53","3.50","0.00%"
"09/22/2025","3.51","3.51","3.53","3.50","0.17%"
"09/19/2025","3.51","3.53","3.53","3.49","0.49%"
"09/18/2025","3.49","3.49","3.51","3.47","0.84%"
"09/17/2025","3.46","3.49","3.49","3.45","-0.43%"
"09/16/2025","3.48","3.49","3.49","3.47","-0.52%"
"09/15/2025","3.49","3.49","3.54","3.46","-0.31%"
"09/12/2025","3.51","3.49","3.52","3.46","1.56%"
"09/11/2025","3.45","3.48","3.48","3.44","-0.26%"
"09/10/2025","3.46","3.47","3.48","3.45","0.00%"
"09/09/2025","3.46","3.49","3.49","3.45","0.17%"
"09/08/2025","3.45","3.51","3.51","3.45","-1.79%"
"09/05/2025","3.52","3.55","3.55","3.49","-1.15%"
"09/04/2025","3.56","3.59","3.59","3.55","-0.53%"
"09/03/2025","3.58","3.63","3.63","3.57","-0.83%"
"09/02/2025","3.61","3.59","3.61","3.58","0.92%"
"09/01/2025","3.57","3.58","3.63","3.55","0.22%"
"08/29/2025","3.57","3.56","3.57","3.56","0.25%"
"08/28/2025","3.56","3.58","3.58","3.55","-0.75%"
"08/27/2025","3.58","3.59","3.61","3.57","-0.17%"
"08/26/2025","3.59","3.58","3.61","3.58","0.00%"
"08/25/2025","3.58","3.55","3.59","3.55","2.11%"
"08/22/2025","3.51","3.58","3.58","3.51","-1.18%"
"08/21/2025","3.55","3.53","3.55","3.51","1.31%"
"08/20/2025","3.51","3.52","3.53","3.50","-0.68%"
"08/19/2025","3.53","3.57","3.57","3.53","-0.56%"
"08/18/2025","3.55","3.58","3.58","3.52","-0.92%"
"08/15/2025","3.58","3.51","3.58","3.51","2.43%"
"08/14/2025","3.50","3.46","3.50","3.45","0.58%"
