"Date","Price","Open","High","Low","Change %"
"10/17/2025","2.935","2.897","2.935","2.897","0.38%"
"10/16/2025","2.924","2.924","2.933","2.914","-0.27%"
"10/15/2025","2.932","2.935","2.978","2.932","-1.28%"
"10/14/2025","2.970","2.970","2.974","2.959","-1.07%"
"10/13/2025","3.002","3.021","3.024","3.000","-1.48%"
"10/10/2025","3.047","3.051","3.055","3.041","0.30%"
"10/09/2025","3.038","3.042","3.056","3.038","0.36%"
"10/08/2025","3.027","3.046","3.051","3.024","-2.35%"
"10/07/2025","3.100","3.090","3.100","3.084","0.58%"
"10/06/2025","3.082","3.087","3.095","3.066","1.25%"
"10/03/2025","3.044","3.049","3.078","3.042","-0.07%"
"10/02/2025","3.046","3.050","3.058","3.041","-0.16%"
"10/01/2025","3.051","3.074","3.077","3.048","-0.10%"
"09/30/2025","3.054","3.033","3.057","3.033","-0.49%"
"09/29/2025","3.069","3.065","3.070","3.056","-0.62%"
"09/26/2025","3.088","3.115","3.143","3.088","-0.61%"
"09/25/2025","3.107","3.088","3.128","3.074","0.78%"
"09/24/2025","3.083","3.116","3.118","3.063","0.03%"
"09/23/2025","3.082","3.072","3.086","3.068","0.52%"
"09/22/2025","3.066","3.090","3.093","3.066","-0.62%"
"09/19/2025","3.085","3.078","3.087","3.071","1.05%"
"09/18/2025","3.053","3.046","3.068","3.046","1.50%"
"09/17/2025","3.008","3.021","3.032","3.007","-0.92%"
"09/16/2025","3.036","3.019","3.043","3.017","0.07%"
"09/15/2025","3.034","3.030","3.035","3.014","0.03%"
"09/12/2025","3.033","3.016","3.039","3.010","0.83%"
"09/11/2025","3.008","3.044","3.047","3.002","0.03%"
"09/10/2025","3.007","2.983","3.007","2.980","0.57%"
"09/09/2025","2.990","2.983","2.993","2.976","-0.53%"
"09/08/2025","3.006","3.014","3.054","3.003","-3.28%"
"09/05/2025","3.108","3.116","3.116","3.105","-0.16%"
"09/04/2025","3.113","3.143","3.143","3.109","-2.41%"
"09/03/2025","3.190","3.234","3.234","3.187","-1.24%"
"09/02/2025","3.230","3.215","3.238","3.210","1.57%"
"09/01/2025","3.180","3.181","3.181","3.157","1.08%"
"08/29/2025","3.146","3.135","3.149","3.128","-0.03%"
"08/28/2025","3.147","3.104","3.149","3.104","0.35%"
"08/27/2025","3.136","3.148","3.152","3.127","-0.95%"
"08/26/2025","3.166","3.166","3.172","3.150","-0.06%"
"08/25/2025","3.168","3.158","3.174","3.145","1.90%"
"08/22/2025","3.109","3.172","3.175","3.100","0.19%"
"08/21/2025","3.103","3.096","3.113","3.074","0.49%"
"08/20/2025","3.088","3.085","3.093","3.072","-0.32%"
"08/19/2025","3.098","3.109","3.123","3.093","0.19%"
"08/18/2025","3.092","3.098","3.103","3.076","-2.12%"
"08/15/2025","3.159","3.080","3.161","3.073","4.19%"
"08/14/2025","3.032","3.027","3.036","3.022","-0.23%"
"08/13/2025","3.039","3.054","3.054","3.025","-0.49%"
"08/12/2025","3.054","3.043","3.056","3.032","-0.62%"
"08/11/2025","3.073","3.048","3.079","3.044","1.25%"
"08/08/2025","3.035","3.035","3.050","3.034","-0.65%"
"08/07/2025","3.055","3.065","3.065","3.026","0.20%"
"08/06/2025","3.049","3.039","3.055","3.034","0.16%"
"08/05/2025","3.044","3.016","3.044","3.008","0.16%"
"08/04/2025","3.039","3.106","3.106","3.038","-1.52%"
"08/01/2025","3.086","3.089","3.098","3.067","0.69%"
"07/31/2025","3.065","3.054","3.075","3.053","0.33%"
"07/30/2025","3.055","3.057","3.067","3.042","0.16%"
"07/29/2025","3.050","3.074","3.084","3.043","-0.78%"
"07/28/2025","3.074","3.074","3.079","3.065","-1.35%"
"07/25/2025","3.116","3.140","3.160","3.116","2.06%"
"07/24/2025","3.053","3.053","3.063","3.038","2.11%"
"07/23/2025","2.990","3.006","3.011","2.986","-0.63%"
"07/22/2025","3.009","3.005","3.022","3.002","-0.43%"
"07/21/2025","3.022","3.052","3.081","3.020","-2.11%"
"07/18/2025","3.087","3.092","3.100","3.085","-0.10%"
"07/17/2025","3.090","3.102","3.110","3.086","-0.29%"
"07/16/2025","3.099","3.115","3.122","3.094","0.78%"
"07/15/2025","3.075","3.103","3.105","3.068","-2.78%"
"07/14/2025","3.163","3.133","3.164","3.116","1.57%"
