date,country,country_code,bond_yield_10y
2015-01-02,Croatia,HR,3.779
2015-01-05,Croatia,HR,3.777
2015-01-06,Croatia,HR,3.776
2015-01-07,Croatia,HR,3.776
2015-01-08,Croatia,HR,3.772
2015-01-09,Croatia,HR,3.77
2015-01-10,Croatia,HR,3.77
2015-01-12,Croatia,HR,3.769
2015-01-13,Croatia,HR,3.768
2015-01-14,Croatia,HR,3.767
2015-01-15,Croatia,HR,3.763
2015-01-16,Croatia,HR,3.761
2015-01-17,Croatia,HR,3.761
2015-01-19,Croatia,HR,3.76
2015-01-20,Croatia,HR,3.759
2015-01-21,Croatia,HR,3.757
2015-01-22,Croatia,HR,3.753
2015-01-23,Croatia,HR,3.752
2015-01-26,Croatia,HR,3.41
2015-01-27,Croatia,HR,3.749
2015-01-28,Croatia,HR,3.748
2015-01-29,Croatia,HR,3.744
2015-01-30,Croatia,HR,3.502
2015-01-31,Croatia,HR,3.502
2015-02-01,Croatia,HR,3.502
2015-02-02,Croatia,HR,3.5
2015-02-03,Croatia,HR,3.499
2015-02-04,Croatia,HR,3.497
2015-02-05,Croatia,HR,3.493
2015-02-06,Croatia,HR,3.492
2015-02-07,Croatia,HR,3.492
2015-02-09,Croatia,HR,3.49
2015-02-10,Croatia,HR,3.309
2015-02-11,Croatia,HR,3.308
2015-02-12,Croatia,HR,3.303
2015-02-13,Croatia,HR,3.481
2015-02-14,Croatia,HR,3.302
2015-02-16,Croatia,HR,3.48
2015-02-17,Croatia,HR,3.478
2015-02-18,Croatia,HR,3.477
2015-02-19,Croatia,HR,3.33
2015-02-20,Croatia,HR,3.329
2015-02-23,Croatia,HR,3.469
2015-02-24,Croatia,HR,3.468
2015-02-25,Croatia,HR,3.466
2015-02-26,Croatia,HR,3.462
2015-02-27,Croatia,HR,3.46
2015-02-28,Croatia,HR,3.46
2015-03-02,Croatia,HR,3.459
2015-03-03,Croatia,HR,3.457
2015-03-04,Croatia,HR,3.456
2015-03-05,Croatia,HR,3.308
2015-03-06,Croatia,HR,3.45
2015-03-09,Croatia,HR,3.448
2015-03-10,Croatia,HR,3.303
2015-03-11,Croatia,HR,3.445
2015-03-12,Croatia,HR,3.237
2015-03-13,Croatia,HR,3.233
2015-03-16,Croatia,HR,3.437
2015-03-17,Croatia,HR,3.436
2015-03-18,Croatia,HR,3.132
2015-03-19,Croatia,HR,3.126
2015-03-20,Croatia,HR,3.428
2015-03-21,Croatia,HR,3.428
2015-03-23,Croatia,HR,3.426
2015-03-24,Croatia,HR,3.425
2015-03-25,Croatia,HR,3.423
2015-03-26,Croatia,HR,3.418
2015-03-27,Croatia,HR,3.417
2015-03-28,Croatia,HR,3.417
2015-03-30,Croatia,HR,3.415
2015-03-31,Croatia,HR,3.21
2015-04-01,Croatia,HR,3.209
2015-04-02,Croatia,HR,3.202
2015-04-03,Croatia,HR,3.158
2015-04-07,Croatia,HR,3.156
2015-04-08,Croatia,HR,3.154
2015-04-09,Croatia,HR,3.129
2015-04-10,Croatia,HR,3.127
2015-04-13,Croatia,HR,3.188
2015-04-14,Croatia,HR,3.187
2015-04-15,Croatia,HR,3.083
2015-04-16,Croatia,HR,3.078
2015-04-17,Croatia,HR,3.384
2015-04-18,Croatia,HR,3.384
2015-04-20,Croatia,HR,3.382
2015-04-21,Croatia,HR,3.022
2015-04-22,Croatia,HR,3.02
2015-04-23,Croatia,HR,3.374
2015-04-24,Croatia,HR,3.372
2015-04-27,Croatia,HR,3.371
2015-04-28,Croatia,HR,3.01
2015-04-29,Croatia,HR,3.053
2015-04-30,Croatia,HR,3.052
2015-05-04,Croatia,HR,3.05
2015-05-05,Croatia,HR,3.099
2015-05-06,Croatia,HR,3.044
2015-05-07,Croatia,HR,3.039
2015-05-08,Croatia,HR,3.037
2015-05-11,Croatia,HR,3.14
2015-05-12,Croatia,HR,3.139
2015-05-13,Croatia,HR,3.137
2015-05-14,Croatia,HR,3.132
2015-05-15,Croatia,HR,3.338
2015-05-18,Croatia,HR,3.128
2015-05-19,Croatia,HR,3.126
2015-05-20,Croatia,HR,3.125
2015-05-21,Croatia,HR,3.119
2015-05-22,Croatia,HR,3.118
2015-05-23,Croatia,HR,3.118
2015-05-25,Croatia,HR,3.137
2015-05-26,Croatia,HR,3.091
2015-05-27,Croatia,HR,3.089
2015-05-28,Croatia,HR,3.128
2015-05-29,Croatia,HR,3.082
2015-05-30,Croatia,HR,3.082
2015-06-01,Croatia,HR,3.104
2015-06-02,Croatia,HR,3.1
2015-06-03,Croatia,HR,3.095
2015-06-04,Croatia,HR,3.095
2015-06-05,Croatia,HR,3.093
2015-06-07,Croatia,HR,3.093
2015-06-08,Croatia,HR,3.407
2015-06-09,Croatia,HR,3.406
2015-06-10,Croatia,HR,3.404
2015-06-11,Croatia,HR,3.287
2015-06-12,Croatia,HR,3.291
2015-06-13,Croatia,HR,3.291
2015-06-15,Croatia,HR,3.29
2015-06-16,Croatia,HR,3.299
2015-06-17,Croatia,HR,3.297
2015-06-18,Croatia,HR,3.44
2015-06-19,Croatia,HR,3.278
2015-06-20,Croatia,HR,3.278
2015-06-22,Croatia,HR,3.173
2015-06-23,Croatia,HR,3.274
2015-06-24,Croatia,HR,3.269
2015-06-25,Croatia,HR,3.131
2015-06-26,Croatia,HR,3.267
2015-06-29,Croatia,HR,3.424
2015-06-30,Croatia,HR,3.498
2015-07-01,Croatia,HR,3.497
2015-07-02,Croatia,HR,3.581
2015-07-03,Croatia,HR,3.255
2015-07-06,Croatia,HR,3.254
2015-07-07,Croatia,HR,3.576
2015-07-08,Croatia,HR,3.52
2015-07-09,Croatia,HR,3.245
2015-07-10,Croatia,HR,3.243
2015-07-11,Croatia,HR,3.243
2015-07-13,Croatia,HR,3.512
2015-07-14,Croatia,HR,3.511
2015-07-15,Croatia,HR,3.454
2015-07-16,Croatia,HR,3.341
2015-07-17,Croatia,HR,3.339
2015-07-18,Croatia,HR,3.339
2015-07-20,Croatia,HR,3.338
2015-07-21,Croatia,HR,3.228
2015-07-27,Croatia,HR,4.343
2015-07-28,Croatia,HR,4.343
2015-07-30,Croatia,HR,4.312
2015-07-31,Croatia,HR,4.312
2015-08-03,Croatia,HR,4.311
2015-08-04,Croatia,HR,4.28
2015-08-05,Croatia,HR,4.28
2015-08-06,Croatia,HR,4.28
2015-08-10,Croatia,HR,4.28
2015-08-11,Croatia,HR,4.28
2015-08-12,Croatia,HR,4.28
2015-08-13,Croatia,HR,4.28
2015-08-14,Croatia,HR,4.28
2015-08-17,Croatia,HR,4.28
2015-08-18,Croatia,HR,4.156
2015-08-19,Croatia,HR,4.156
2015-08-20,Croatia,HR,4.156
2015-08-21,Croatia,HR,4.156
2015-08-24,Croatia,HR,4.156
2015-08-25,Croatia,HR,4.156
2015-08-26,Croatia,HR,4.156
2015-08-27,Croatia,HR,4.155
2015-08-28,Croatia,HR,4.155
2015-08-31,Croatia,HR,4.155
2015-09-01,Croatia,HR,4.155
2015-09-02,Croatia,HR,4.155
2015-09-03,Croatia,HR,3.923
2015-09-04,Croatia,HR,4.001
2015-09-07,Croatia,HR,4.001
2015-09-08,Croatia,HR,4.001
2015-09-09,Croatia,HR,4.001
2015-09-10,Croatia,HR,4.0
2015-09-11,Croatia,HR,4.0
2015-09-14,Croatia,HR,4.0
2015-09-15,Croatia,HR,3.941
2015-09-16,Croatia,HR,4.0
2015-09-17,Croatia,HR,4.03
2015-09-18,Croatia,HR,4.03
2015-09-21,Croatia,HR,4.122
2015-09-22,Croatia,HR,4.0
2015-09-23,Croatia,HR,4.0
2015-09-24,Croatia,HR,4.246
2015-09-25,Croatia,HR,4.371
2015-09-27,Croatia,HR,4.371
2015-09-28,Croatia,HR,4.371
2015-09-29,Croatia,HR,4.34
2015-09-30,Croatia,HR,4.246
2015-10-01,Croatia,HR,4.246
2015-10-02,Croatia,HR,4.246
2015-10-03,Croatia,HR,4.246
2015-10-05,Croatia,HR,4.246
2015-10-06,Croatia,HR,4.245
2015-10-07,Croatia,HR,4.245
2015-10-09,Croatia,HR,4.245
2015-10-12,Croatia,HR,4.245
2015-10-13,Croatia,HR,4.245
2015-10-14,Croatia,HR,4.245
2015-10-15,Croatia,HR,4.245
2015-10-16,Croatia,HR,4.245
2015-10-18,Croatia,HR,4.245
