date,country,country_code,inflation_hicp
2015-01-01,Croatia,HR,-0.6
2015-02-01,Croatia,HR,-0.4
2015-03-01,Croatia,HR,0.0
2015-04-01,Croatia,HR,-0.1
2015-05-01,Croatia,HR,0.0
2015-06-01,Croatia,HR,0.1
2015-07-01,Croatia,HR,-0.2
2015-08-01,Croatia,HR,-0.1
2015-09-01,Croatia,HR,-0.5
2015-10-01,Croatia,HR,-0.5
2015-11-01,Croatia,HR,-0.4
2015-12-01,Croatia,HR,-0.3
2016-01-01,Croatia,HR,-0.2
2016-02-01,Croatia,HR,-0.6
2016-03-01,Croatia,HR,-0.9
2016-04-01,Croatia,HR,-0.9
2016-05-01,Croatia,HR,-1.2
2016-06-01,Croatia,HR,-1.2
2016-07-01,Croatia,HR,-1.1
2016-08-01,Croatia,HR,-1.5
2016-09-01,Croatia,HR,-0.7
2016-10-01,Croatia,HR,-0.3
2016-11-01,Croatia,HR,0.2
2016-12-01,Croatia,HR,0.7
2017-01-01,Croatia,HR,0.9
2017-02-01,Croatia,HR,1.4
2017-03-01,Croatia,HR,1.1
2017-04-01,Croatia,HR,1.4
2017-05-01,Croatia,HR,1.0
2017-06-01,Croatia,HR,1.1
2017-07-01,Croatia,HR,1.2
2017-08-01,Croatia,HR,1.5
2017-09-01,Croatia,HR,1.6
2017-10-01,Croatia,HR,1.6
2017-11-01,Croatia,HR,1.6
2017-12-01,Croatia,HR,1.3
2018-01-01,Croatia,HR,1.2
2018-02-01,Croatia,HR,0.9
2018-03-01,Croatia,HR,1.2
2018-04-01,Croatia,HR,1.4
2018-05-01,Croatia,HR,1.8
2018-06-01,Croatia,HR,2.2
2018-07-01,Croatia,HR,2.2
2018-08-01,Croatia,HR,2.1
2018-09-01,Croatia,HR,1.6
2018-10-01,Croatia,HR,1.7
2018-11-01,Croatia,HR,1.3
2018-12-01,Croatia,HR,1.0
2019-01-01,Croatia,HR,0.6
2019-02-01,Croatia,HR,0.8
2019-03-01,Croatia,HR,1.1
2019-04-01,Croatia,HR,0.8
2019-05-01,Croatia,HR,1.0
2019-06-01,Croatia,HR,0.5
2019-07-01,Croatia,HR,0.9
2019-08-01,Croatia,HR,0.6
2019-09-01,Croatia,HR,0.6
2019-10-01,Croatia,HR,0.6
2019-11-01,Croatia,HR,0.8
2019-12-01,Croatia,HR,1.3
2020-01-01,Croatia,HR,1.8
2020-02-01,Croatia,HR,1.2
2020-03-01,Croatia,HR,0.5
2020-04-01,Croatia,HR,-0.1
2020-05-01,Croatia,HR,-0.7
2020-06-01,Croatia,HR,-0.4
2020-07-01,Croatia,HR,-0.6
2020-08-01,Croatia,HR,-0.4
2020-09-01,Croatia,HR,-0.3
2020-10-01,Croatia,HR,-0.2
2020-11-01,Croatia,HR,0.0
2020-12-01,Croatia,HR,-0.3
2021-01-01,Croatia,HR,0.0
