date,country,country_code,public_debt_gdp
2015-01-01,Croatia,HR,82.8
2016-01-01,Croatia,HR,79.3
2017-01-01,Croatia,HR,76.2
2018-01-01,Croatia,HR,72.8
2019-01-01,Croatia,HR,70.9
2020-01-01,Croatia,HR,86.5
2021-01-01,Croatia,HR,78.2
2022-01-01,Croatia,HR,68.5
2023-01-01,Croatia,HR,60.9
2024-01-01,Croatia,HR,57.4
2015-01-01,France,FR,97.0
2016-01-01,France,FR,98.1
2017-01-01,France,FR,98.8
2018-01-01,France,FR,98.5
2019-01-01,France,FR,98.2
2020-01-01,France,FR,114.9
2021-01-01,France,FR,112.8
2022-01-01,France,FR,111.4
2023-01-01,France,FR,109.8
2024-01-01,France,FR,113.2
2015-01-01,Germany,DE,71.2
2016-01-01,Germany,DE,68.3
2017-01-01,Germany,DE,64.0
2018-01-01,Germany,DE,60.8
2019-01-01,Germany,DE,58.7
2020-01-01,Germany,DE,68.0
2021-01-01,Germany,DE,67.9
2022-01-01,Germany,DE,64.4
2023-01-01,Germany,DE,62.3
2024-01-01,Germany,DE,62.2
2015-01-01,Latvia,LV,38.3
2016-01-01,Latvia,LV,41.7
2017-01-01,Latvia,LV,40.3
2018-01-01,Latvia,LV,38.3
2019-01-01,Latvia,LV,37.9
2020-01-01,Latvia,LV,44.0
2021-01-01,Latvia,LV,45.9
2022-01-01,Latvia,LV,44.4
2023-01-01,Latvia,LV,44.4
2024-01-01,Latvia,LV,46.6
2015-01-01,Lithuania,LT,42.4
2016-01-01,Lithuania,LT,39.8
2017-01-01,Lithuania,LT,39.1
2018-01-01,Lithuania,LT,33.3
2019-01-01,Lithuania,LT,35.6
2020-01-01,Lithuania,LT,45.9
2021-01-01,Lithuania,LT,43.3
2022-01-01,Lithuania,LT,38.3
2023-01-01,Lithuania,LT,37.1
2024-01-01,Lithuania,LT,38.0
2015-01-01,Slovakia,SK,51.6
2016-01-01,Slovakia,SK,52.1
2017-01-01,Slovakia,SK,51.4
2018-01-01,Slovakia,SK,49.3
2019-01-01,Slovakia,SK,48.0
2020-01-01,Slovakia,SK,58.4
2021-01-01,Slovakia,SK,60.2
2022-01-01,Slovakia,SK,57.8
2023-01-01,Slovakia,SK,55.8
2024-01-01,Slovakia,SK,59.7
2015-01-01,Slovenia,SI,83.4
2016-01-01,Slovenia,SI,79.4
2017-01-01,Slovenia,SI,74.9
2018-01-01,Slovenia,SI,71.0
2019-01-01,Slovenia,SI,66.0
2020-01-01,Slovenia,SI,80.2
2021-01-01,Slovenia,SI,74.8
2022-01-01,Slovenia,SI,72.8
2023-01-01,Slovenia,SI,68.3
2024-01-01,Slovenia,SI,66.6
